OBJECTID,COD_SIG,COD_VIA,COD_CICLOVIA,DESIGNACAO,NOME_PROJETO,HIERARQUIA,EIXO,TIPOLOGIA,NIVEL_SEGREGACAO,TIPO_INTERVENCAO,SITUACAO,ANO,ENTIDADE_RESP,FREGUESIA,COMPRIMENTO,COMP_KM,IDTIPO,ZONAMENTO,GlobalID,ciclovia_id
129927,0000456,67183,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Benfica,16.61,0.016614030000000002,9196,,43a078ec-9945-4ddf-b169-a996bc8bd9cf,0
129928,0000567,67183,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Benfica,23.580000000000002,0.02358311,9196,,6f12457f-ca01-4124-8aa7-bdc2c864b877,1
129929,0000584,67183,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Benfica,20.48,0.020476150000000002,9196,,7c625631-23d1-41fe-a5f7-101812d5d215,2
129930,0000585,67183,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,3.31,0.00330929,9196,,f5760867-d3c1-4790-abac-c3b20e9f9f41,3
129931,0000224,67183,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,12.51,0.01250833,9196,,b7bc2a3b-7110-4e91-9842-21ba70cc1468,4
129932,0000664,67183,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,7.04,0.00703883,9196,,566d6604-2cf4-4414-81d1-f00206f07ee3,5
129933,0000665,67183,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,23.78,0.0237845,9196,,7f477369-4c50-4546-adf8-41bbb108e6d7,6
129934,0000666,67183,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,Sem dados,CML,Carnide,13.82,0.01382306,9196,,85d9b642-bac3-4181-8b0d-3cfc321cb693,7
129935,0000667,67183,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,Sem dados,CML,Carnide,2.85,0.00285121,9196,,9e4b476d-0193-4680-9cc2-211cb4ec576f,8
129936,0000668,67183,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Alcântara - Pontinha,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,Sem dados,CML,Carnide,7.74,0.00774313,9196,,dc20c64e-04a4-45b2-97d6-28d9f1d31e9b,9
129937,0000669,67183,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Alcântara - Pontinha,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,38.54,0.038536060000000004,9196,,0479b290-0e73-4702-b8e7-8b2d9b763131,10
129938,0000138,67183,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Alcântara - Pontinha,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,Sem dados,CML,Carnide,31.91,0.03191207,9196,,50b50b48-322a-4149-bdcd-0c3d0e6ca9ac,11
129939,0000659,,0041,Passeio do Trancão,Parque Trancão - Ponte Ciclopedonal sobre o Rio Trancão,Principal,Marginal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2023,CML/DMAEVCE; EMEL,Parque das Nações,365.0,0.36500376,9196,Frente Ribeirinha,4804bdbf-af1f-4f3d-ad38-c78b6bb33055,12
129940,0000660,,0041,Ponte Ciclopedonal sobre o Rio Trancão,Parque Trancão - Ponte Ciclopedonal sobre o Rio Trancão,Principal,Marginal,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,2023,CML/DMAEVCE; EMEL,,166.78,0.16678172,9196,Frente Ribeirinha,4c6878c3-1148-4dab-8740-b6dadad675e7,13
129941,0000662,,0041,Passeio do Trancão,Parque Trancão - Ponte Ciclopedonal sobre o Rio Trancão,Complementar,,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2023,CML/DMAEVCE; EMEL,Parque das Nações,116.45,0.11645041,9196,Frente Ribeirinha,c35134ea-092a-4648-92d5-599c455cd58d,14
129942,0000258,,0177,Alameda das Linhas de Torres-Rua Cipriano Dourado,Alameda das Linhas de Torres,Principal,Central,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,CML/DMM; EMEL,Lumiar,1634.9,1.6348969800000002,9196,Campo Grande Norte,5b467bf3-19df-459d-8636-ed22f9984899,15
129943,0000635,62,0143,Avenida de Berlim,Avenida de Berlim - Fase 2,Principal,Circular Exterior,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Olivais,41.980000000000004,0.0419753,9196,Olivais Sul,484a9334-247a-4156-8bbc-247dec71bb29,16
129944,0000636,62,0143,Avenida de Berlim,Avenida de Berlim - Fase 2,Principal,Circular Exterior,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Parque das Nações,49.17,0.04916673,9196,PU Área Envolvente à Estação do Oriente,e57e9c86-b444-4867-b30c-f36e56ca7ae5,17
129945,0000426,,0294,Santa Apolónia - Parque das Nações,T22 - Santa Apolónia - Parque das Nações,Principal,Marginal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2013,CML/DMEVAE,Marvila,383.02,0.3830204,9196,Frente Ribeirinha,bfccc82c-6f29-4d54-a85c-abf134ddc3a0,18
129946,0000426,462,0265,Avenida Infante Dom Henrique,Loteamento Braço de Prata,Principal,Marginal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2018,CML,Marvila,105.27,0.10527468,9196,Frente Ribeirinha,73b5d09e-383d-4eea-96fa-090bbbdf3caf,19
129947,0000638,462,0265,Avenida Infante Dom Henrique,Loteamento Braço de Prata,Complementar,,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,2018,CML,Marvila,19.57,0.0195701,9196,Braço de Prata,a650ba5b-6d1b-4ab2-8ffd-91374efe33a3,20
129948,0000639,462,0265,Avenida Infante Dom Henrique,Loteamento Braço de Prata,Complementar,,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2018,CML,Marvila,7.97,0.00797431,9196,Braço de Prata,5bacd81e-c991-47de-9871-5ba254d7f5f6,21
129955,0000594,352282,0300,Alameda dos Oceanos,,Principal,Marginal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,Sem dados,CML,Parque das Nações,155.3,0.15530194,9196,Parque das Nações Sul,1d358b48-ffaf-48b8-9ae1-7a4934090c77,22
129963,0000590,67415,0690,Rua Francisco Gentil Martins,Rua Francisco Gentil Martins,Principal,Panorâmico,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2023,CML/DMM; EMEL,Campolide,453.11,0.45310673,9196,,2954379d-fb35-4585-a0a5-b304ba27e313,23
129964,0000191,67415,0690,Rua Francisco Gentil Martins,Rua Francisco Gentil Martins,Principal,Panorâmico,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2023,CML/DMM; EMEL,Campolide,16.15,0.01615207,9196,,9958dc67-4bfa-4431-9e74-be0a85231c97,24
129965,0000190,67365,0127,Avenida Columbano Bordalo Pinheiro,Rua Conde de Almoster,Principal,Panorâmico,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,CML/DMM; EMEL,Campolide,21.19,0.0211948,9196,,ed26f25c-8ec2-403a-9191-bf8fe4f3aa4a,25
129975,0000076,34191,0073,Rua da Palma,Avenida Almirante Reis - Fase 2,Principal,Baixa - Aeroporto,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2022,CML/DMM; CML/DMMC/DIOA,Santa Maria Maior,317.15000000000003,0.31714729,9196,,27d10134-de79-446c-9982-250e9a49fa36,26
129981,0000642,,0073,Rua João das Regras-Praça Martim Moniz,Avenida Almirante Reis - Fase 2,Principal,Baixa - Aeroporto,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2022,CML/DMM; CML/DMMC/DIOA,Santa Maria Maior,405.3,0.4052981,9196,,2bd5a2dc-f960-47c9-a27a-7fd3fc71e67a,27
129991,14286,5914,0090,Cais Português,,Local,,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Parque das Nações,87.78,0.08777668,9196,Frente Ribeirinha,ecad0b51-d620-4f9f-857f-12698d963d1e,28
129998,0000078,,0267,Monsanto - Avenida Calouste Gulbenkian,T15A - Monsanto - Avenida Calouste Gulbenkian,Complementar,,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2010,CML/DMEVAE,Campolide,327.14,0.32713611,9196,,536ec408-126b-4590-bb44-bd106c01b5bb,29
130008,0000718,,0083,BTT/Trail 2,,Local,,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Alcântara,2984.48,2.98447608,9196,Monsanto,5e212069-b95d-4677-8329-b9798194d4a0,30
130009,0000719,,0083,BTT/Trail 2,,Local,,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Alcântara,879.39,0.87938655,9196,Monsanto,10c271e3-8c3b-4411-8fe5-5cf12b9043fe,31
130010,0000723,,0091,BTT/Trail 3,,Local,,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Belém,3283.01,3.2830128,9196,Monsanto,9e2ee898-34aa-4c09-adef-a8bb1c0130e3,32
130011,0000724,,0091,BTT/Trail 3,,Local,,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Ajuda,1376.19,1.37619293,9196,Monsanto,36afb7d6-3248-45f1-b920-361deb62ca78,33
130013,0000301,101064,0003,Avenida Cidade de Praga,Avenida Cidade de Praga,Principal,Circular Exterior,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,CML/DMM; EMEL,Carnide,296.73,0.29673496,9196,Pontinha,d296d803-52cc-4131-aa2a-e930fce265e2,34
130016,0000393,67025,0086,Avenida dos Defensores de Chaves,Avenida Defensores de Chaves,Complementar,,Faixa Ciclável,Faixa ciclável (separação visual),Provisória,Executado,2019,CML/DMM,Avenidas Novas,714.62,0.71461663,9196,Avenidas Novas,3d593f6d-5dcd-4274-9ce8-a47a43c71c3a,35
130020,0000717,,0057,Circuito Acessível,,Local,,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Ajuda,1361.9,1.36189864,9196,Monsanto,57045f95-c3d2-4b7a-8ba7-3b1055e6a78e,36
130021,0000720,,0057,Circuito Acessível,,Local,,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Benfica,583.65,0.58365089,9196,Monsanto,6a2cd7db-db7b-49a7-8dea-3a8c729fc8be,37
130022,0000721,,0057,Circuito Acessível,,Local,,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Benfica,171.69,0.17168777000000002,9196,Monsanto,31eb1691-91b6-45c7-bff5-ab0e8f5469de,38
130024,159902,6287,0393,Eixo Central,,Local,,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,2023,CML,Santa Clara,221.92000000000002,0.22191719000000001,9196,PU Alta de Lisboa,699c4deb-8c9a-4a8c-a74d-ac42fd5590f2,39
130026,0000489,33395,0008,Avenida Paulo VI,Avenida Paulo VI,Complementar,,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2020,EMEL,Marvila,38.160000000000004,0.0381582,9196,,da53b790-d07f-447d-881b-53574b971d05,40
130031,23097,101725,0292,Rua Prof. António Flores,Rua Prof. António Flores,Local,,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2017,CML,Alvalade,67.53,0.06752673000000001,9196,Cidade Universitária,e3af506c-2612-4277-b8fb-cd9993a5be31,41
130033,0000247,35282,0411,Alameda dos Oceanos,,Principal,Marginal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Definitiva,Executado,2017,CML/DMM,Parque das Nações,1434.8,1.4347975,9196,PU Área Envolvente à Estação do Oriente,6e5bc9eb-839a-4bec-8b40-a22cfbf38fea,42
