OBJECTID,COD_SIG,IDTIPO,ID,NOME,GlobalID,lon,lat
1,13,9007,12,Santos,d0df7e89-b42e-4133-93c7-9d053190147e,-9.15552250377434,38.7060633158671
2,14,9007,13,Rossio,dfb26b44-bd57-45c1-814b-963e4f61237e,-9.14196352975159,38.7146755592529
3,4,9007,4,Marvila,fa310cb3-13a9-4f30-8378-2be4d5eaeb84,-9.10852938329836,38.7391907148697
4,10,9007,9,Benfica,83cb6b0f-adb1-49de-8ee9-4266bd3d506e,-9.19958199365785,38.7443755776409
5,15,9007,14,Caís do Sodré,27d68917-bb53-4f99-89ec-971508dbf313,-9.14588727652266,38.7059490818467
6,8,9007,7,Sete Rios,7085d9fe-3066-47b5-9c35-2cc15b82832c,-9.16697975868038,38.7400298098061
7,18,9007,16,Santa Apolónia,085a6a8f-4a23-41cf-9f66-4158683060ab,-9.12177812882614,38.7149653347983
8,5,9007,5,Roma Areeiro,9e22635b-de1e-4bd5-ba9f-412b72b51adb,-9.1340968039289,38.7457661052422
9,12,9007,11,Alcântara Mar,f6c36943-5bf8-4b9d-9aad-e82c7cda0784,-9.17369129487808,38.7024619220429
10,3,9007,3,Chelas,9042382d-ee26-488b-880e-cdd66c8d3b21,-9.11853020119388,38.7388004364584
11,6,9007,6,Entrecampos,bc457afb-ed51-48ee-b7bb-a39c8a98a017,-9.14893855879381,38.7444038040214
12,17,9007,15,Alcântara Terra,b0a58ba7-ebbf-48cf-b8c0-33904667d1fc,-9.17322414042982,38.7075014233012
13,9,9007,8,Belém,6a180308-2a59-4998-be71-a218507df379,-9.19724453022133,38.6962145236187
14,1,9007,1,Braço de Prata,97714271-6172-4506-9f6f-86e9a394aae7,-9.10280518898983,38.747093215346
15,2,9007,2,Oriente,1bc5838d-8d69-4577-980a-6679763e2a84,-9.09904711754043,38.7677972155426
16,11,9007,10,Campolide,88cc47c0-e9cf-47a6-a5e6-81db12656419,-9.16803742796852,38.7322671342457
