OBJECTID,ID_P,ID_C,COD_VIA,NOME_RUA,N_POLICIA,PONTO_REFERENCIA,FREGUESIA,SITUACAO,IMPLANTACAO,N_DOCAS,TIPO_ESTACAO,ENTIDADE,DESIGNACAO_PROJETO,LOCALIZACAO_INSTALACAO,TIPOLOGIA_ESTACIONAMENTO,N_LUGARES_OCUPADOS,COD_SIG,IDTIPO,DCOMERCIAL,CP7,NIP,CPE,INSTALADOR,DATA_INICIO,DATA_FIM,GlobalID,lon,lat
1,012,453,66782,Avenida dos Estados Unidos da América,103,Cruzamento com Avenida de Roma,Alvalade,Em operação,Definida,14,Simples,EMEL,,Passeio,,,012,9310,,,,,,,,68e09c8f-7541-4ac3-a8c8-6d16cb1ec8dc,-9.14212290764073,38.7487494207033
2,061,443,66668,Avenida de Roma,16B,Assembleia Municipal de Lisboa,Areeiro,Em operação,Definida,14,Simples,EMEL,,Estacionamento,Paralelo,,061,9310,,,,,,,,f10fa668-afb9-4b88-ab56-a34e929cc3c9,-9.13863230427631,38.7435638506763
4,062,433,66932,Avenida de Paris,3B,,Areeiro,Em operação,Definida,14,Simples,EMEL,,Estacionamento,Paralelo,3,062,9310,,,,,,,,3cfba200-2fd2-439a-aa9f-688f7c52d17c,-9.13415240943239,38.7410515103098
5,007,475,67142,Avenida Professor Gama Pinto,,Cantinha Velha - SASULisboa ,Alvalade,Em operação,Definida,41,Simples,EMEL,,Passeio,,,007,9310,,,,,,,,3592a18a-ad19-4d1d-9d4b-b0ef6df14547,-9.15925186807836,38.7513277660503
6,066,477,66667,Alameda da Universidade,,Faculdade Direito da Universidade de Lisboa,Alvalade,Em operação,Definida,24,Simples,EMEL,,Passeio,,,066,9310,,,,,,,,614314fc-7a91-4fc5-9845-f6bb818c1890,-9.1565607014977,38.7527073489441
7,065,478,66667,Alameda da Universidade,,Faculdade Letras da Universidade de Lisboa,Alvalade,Em operação,Definida,32,Simples,EMEL,,Passeio,,,065,9310,,,,,,,,c94eda0d-c648-4c42-8535-08b739ed1842,-9.15711006017334,38.7536270358849
8,040,423,66998,Avenida Conde de Valbom,127A,,Avenidas Novas,Em operação,Definida,10,Simples,EMEL,,Passeio,,,040,9310,,,,,,,,bdcacd03-2ea5-4312-97d2-45b32d716349,-9.15210486070102,38.7378341930402
11,074,452,66910,Rua Teixeira de Pascoais,21C,Cruzamento com Rua Doutor Gama Barros,Alvalade,Em operação,Definida,10,Simples,EMEL,,Passeio,,,074,9310,,,,,,,,53a94374-8b13-42dc-9233-74943ab5f2fc,-9.13683157896438,38.7477923038715
12,096,487,297,Rua Prof. Mark Athias,,Cruzamento com Rua Prof. João Barreira,Lumiar,Em operação,Definida,14,Simples,EMEL,,Estacionamento,Paralelo,,096,9310,,,,,,,,9dc693f5-8313-495b-88cb-33db37d6b995,-9.17093718548112,38.7612713056984
13,054,432,67014,Praça de Londres,,Igreja de São João de Deus,Areeiro,Em operação,Definida,10,Simples,EMEL,,Passeio,,,054,9310,,,,,,,,5cd0011d-f4a8-41c2-b80f-b8abbc76287a,-9.13774769807123,38.7407538301441
