ciclovia_id,objectid,cod_sig,cod_via,cod_ciclovia,designacao,nome_projeto,hierarquia,eixo,tipologia,nivel_segregacao,tipo_intervencao,situacao,ano,entidade_resp,freguesia,comprimento,comp_km,idtipo,zonamento,globalid
0,129927,456,67183.0,93,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Benfica,16.61,0.01661403,9196,NaN,43a078ec-9945-4ddf-b169-a996bc8bd9cf
1,129928,567,67183.0,93,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Benfica,23.58,0.02358311,9196,NaN,6f12457f-ca01-4124-8aa7-bdc2c864b877
2,129929,584,67183.0,93,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Benfica,20.48,0.02047615,9196,NaN,7c625631-23d1-41fe-a5f7-101812d5d215
3,129930,585,67183.0,93,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,3.31,0.00330929,9196,NaN,f5760867-d3c1-4790-abac-c3b20e9f9f41
4,129931,224,67183.0,93,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,12.51,0.01250833,9196,NaN,b7bc2a3b-7110-4e91-9842-21ba70cc1468
5,129932,664,67183.0,93,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,7.04,0.00703883,9196,NaN,566d6604-2cf4-4414-81d1-f00206f07ee3
6,129933,665,67183.0,93,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,23.78,0.0237845,9196,NaN,7f477369-4c50-4546-adf8-41bbb108e6d7
7,129934,666,67183.0,93,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,Sem dados,CML,Carnide,13.82,0.01382306,9196,NaN,85d9b642-bac3-4181-8b0d-3cfc321cb693
8,129935,667,67183.0,93,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,Sem dados,CML,Carnide,2.85,0.00285121,9196,NaN,9e4b476d-0193-4680-9cc2-211cb4ec576f
9,129936,668,67183.0,93,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Alcântara - Pontinha,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,Sem dados,CML,Carnide,7.74,0.00774313,9196,NaN,dc20c64e-04a4-45b2-97d6-28d9f1d31e9b
10,129937,669,67183.0,93,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Alcântara - Pontinha,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,38.54,0.03853606,9196,NaN,0479b290-0e73-4702-b8e7-8b2d9b763131
11,129938,138,67183.0,93,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Alcântara - Pontinha,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,Sem dados,CML,Carnide,31.91,0.03191207,9196,NaN,50b50b48-322a-4149-bdcd-0c3d0e6ca9ac
