gira_id,gira_nome_rua,gira_freguesia,metro_id,metro_nome,distance_meters
012,Avenida dos Estados Unidos da América,Alvalade,35,Cais do Sodré,4746.16232462
061,Avenida de Roma,Areeiro,35,Cais do Sodré,4209.07147627
062,Avenida de Paris,Areeiro,35,Cais do Sodré,4017.5008623
007,Avenida Professor Gama Pinto,Alvalade,35,Cais do Sodré,5145.6416358
066,Alameda da Universidade,Alvalade,35,Cais do Sodré,5249.98067317
065,Alameda da Universidade,Alvalade,35,Cais do Sodré,5358.83531011
040,Avenida Conde de Valbom,Avenidas Novas,35,Cais do Sodré,3558.29219431
074,Rua Teixeira de Pascoais,Alvalade,35,Cais do Sodré,4697.89629224
096,Rua Prof. Mark Athias,Lumiar,35,Cais do Sodré,6489.49111783
054,Praça de Londres,Areeiro,35,Cais do Sodré,3915.00659801
052,Largo Frei Heitor Pinto,Alvalade,35,Cais do Sodré,5435.96551264
047,Rua Maria Amália Vaz de Carvalho,Alvalade,35,Cais do Sodré,5053.3479536
092,Rua Professor Lima Basto,São Domingos de Benfica,35,Cais do Sodré,3956.97677926
086,Avenida Duque d'Ávila,Avenidas Novas,35,Cais do Sodré,3244.43185317
019,Avenida da República,Avenidas Novas,35,Cais do Sodré,3241.78051392
020,Avenida Duque d'Ávila,Avenidas Novas,35,Cais do Sodré,3260.04449969
030,Rua da Mesquita,Campolide,35,Cais do Sodré,3426.82662352
004,Alameda Dom Afonso Henriques,Areeiro,35,Cais do Sodré,3626.86685713
087,Avenida Duque d'Ávila,Avenidas Novas,35,Cais do Sodré,3232.05442977
026,Rua Aboím Ascensão,Alvalade,35,Cais do Sodré,4841.39762676
084,Avenida Cinco de Outubro,Avenidas Novas,35,Cais do Sodré,4533.07225921
002,Avenida da República,Avenidas Novas,35,Cais do Sodré,4280.83749652
029,Avenida do Brasil,Alvalade,35,Cais do Sodré,5582.42331554
080,Avenida do Brasil,Alvalade,35,Cais do Sodré,5821.83625084
082,Campo Grande,Alvalade,35,Cais do Sodré,5146.06246017
063,Campo Grande,Alvalade,35,Cais do Sodré,5848.95769427
008,Rua Prof. Vieira de Almeida,Lumiar,35,Cais do Sodré,6320.56107015
049,Rua Hermano Neves,Lumiar,35,Cais do Sodré,6288.01381978
091,Rua Fernando Namora,Lumiar,35,Cais do Sodré,6520.57729241
033,Avenida Rovisco Pais,Areeiro,35,Cais do Sodré,3427.38367191
077,Azinhaga da Torre do Fato,Lumiar,35,Cais do Sodré,6635.78637615
076,Rua Lopes Mendonça,Alvalade,35,Cais do Sodré,5643.43655936
045,Rua Marquês do Soveral,Alvalade,35,Cais do Sodré,5817.53777872
057,Rua Tomás da Fonseca,São Domingos de Benfica,35,Cais do Sodré,5917.89402414
018,Campo Pequeno,Avenidas Novas,35,Cais do Sodré,4137.05433195
017,Avenida da República,Avenidas Novas,35,Cais do Sodré,3807.8902329
055,Avenida da Liberdade,Santo António,35,Cais do Sodré,1855.72619418
095,Praça da Figueira,Santa Maria Maior,35,Cais do Sodré,1101.46252393
094,Praça D. Pedro IV,Santa Maria Maior,35,Cais do Sodré,998.20029929
117,Rua da Palma,Santa Maria Maior,35,Cais do Sodré,1700.96476121
138,Avenida de Brasília,Belém,35,Cais do Sodré,5409.25913668
136,Avenida de Brasília,Belém,35,Cais do Sodré,3754.91680803
135,Doca de Alcântara,Estrela,35,Cais do Sodré,2542.12914153
133B,Cais do Sodré,Misericórdia,35,Cais do Sodré,236.87805357
129,Avenida Infante Dom Henrique,São Vicente,35,Cais do Sodré,2218.62291122
124,Avenida Infante Dom Henrique,Santa Maria Maior,35,Cais do Sodré,1210.27907346
118,Largo do Intendente Pina Manique,Arroios,35,Cais do Sodré,1910.78242094
132,Avenida da Ribeira das Naus,Santa Maria Maior,35,Cais do Sodré,412.53981644
126,Avenida Vinte e Quatro de Julho,Misericórdia,35,Cais do Sodré,66.02895842
127,Avenida Vinte e Quatro de Julho,Misericórdia,35,Cais do Sodré,244.08267916
128,Avenida Vinte e Quatro de Julho,Estrela,35,Cais do Sodré,712.42686907
130,Avenida Infante Dom Henrique,Santa Maria Maior,35,Cais do Sodré,1683.06521279
123,Praça do Município,Santa Maria Maior,35,Cais do Sodré,618.56401311
070,Rua Interior à Alameda da Universidade,Alvalade,35,Cais do Sodré,5587.48012048
115,Via do Oriente,Parque das Nações,35,Cais do Sodré,9987.97338365
114,Alameda dos Oceanos,Parque das Nações,35,Cais do Sodré,9585.82506078
113,Alameda dos Oceanos,Parque das Nações,35,Cais do Sodré,9349.78543914
111,Alameda dos Oceanos,Parque das Nações,35,Cais do Sodré,9107.33557453
110,Rua do Bojador,Parque das Nações,35,Cais do Sodré,8897.8330962
109,Alameda dos Oceanos,Parque das Nações,35,Cais do Sodré,8781.02999011
108,Rua do Bojador,Parque das Nações,35,Cais do Sodré,8437.98764183
102,Avenida do Pacífico,Parque das Nações,35,Cais do Sodré,7956.72000635
104,Avenida do Índico,Parque das Nações,35,Cais do Sodré,8183.90826593
107,Rua do Fogo de Santelmo,Parque das Nações,35,Cais do Sodré,7568.01617679
106,Porta do Mar,Parque das Nações,35,Cais do Sodré,7315.7693183
105,Alameda dos Oceanos,Parque das Nações,35,Cais do Sodré,7015.97046295
141,Rua de Moscavide ao Parque das Nações,Parque das Nações,35,Cais do Sodré,9095.18420337
005A,Praça do Duque de Saldanha,Avenidas Novas,35,Cais do Sodré,3107.79381415
005B,Praça do Duque de Saldanha,Arroios,35,Cais do Sodré,3128.18169454
005C,Praça do Duque de Saldanha,Arroios,35,Cais do Sodré,3068.15312172
022A,Avenida Fontes Pereira de Melo,Avenidas Novas,35,Cais do Sodré,2825.08923883
053B,Praça do Marquês de Pombal,Santo António,35,Cais do Sodré,2074.1799483
053A,Praça do Marquês de Pombal,Santo António,35,Cais do Sodré,2117.29656931
075B,Avenida da Liberdade,Santo António,35,Cais do Sodré,1261.84132604
101B,Praça Martim Moniz,Santa Maria Maior,35,Cais do Sodré,1305.55871687
101A,Praça Martim Moniz,Santa Maria Maior,35,Cais do Sodré,1291.41337829
143,Rua Konrad Adenauer,Lumiar,35,Cais do Sodré,6106.97065012
144,Avenida da Liberdade,Santo António,35,Cais do Sodré,1806.37279568
145,Avenida da Liberdade,Santo António,35,Cais do Sodré,1587.02763971
133A,Avenida Vinte e Quatro de Julho,Misericórdia,35,Cais do Sodré,121.0882294
147,Alameda da Universidade,Alvalade,35,Cais do Sodré,5247.34690893
024A,Avenida Ressano Garcia,Avenidas Novas,35,Cais do Sodré,3242.33065653
065,Alameda da Universidade,Alvalade,34,Terreiro do Paço,5532.73396641
024B,Avenida António Augusto de Aguiar,Avenidas Novas,35,Cais do Sodré,3225.81523474
146,Rua Martens Ferrão,Arroios,35,Cais do Sodré,2549.55026806
051,Avenida de António José de Almeida,Areeiro,35,Cais do Sodré,3598.82366408
162,Rua Marques da Silva,Arroios,35,Cais do Sodré,2766.37519904
158,Rua Passos Manuel,Arroios,35,Cais do Sodré,2894.72624604
157,Rua António Pedro,Arroios,35,Cais do Sodré,2967.01784149
161,Avenida Almirante Reis,Arroios,35,Cais do Sodré,1972.93497409
160,Avenida Almirante Reis,Arroios,35,Cais do Sodré,2341.09132145
159,Rua Frei Francisco Foreiro,Arroios,35,Cais do Sodré,2589.78992166
242,Rua Luís de Freitas Branco,Lumiar,35,Cais do Sodré,7267.6970833
154,Alameda das Linhas de Torres,Lumiar,35,Cais do Sodré,7601.61735903
152,Alameda das Linhas de Torres,Lumiar,35,Cais do Sodré,6721.67764266
153,Rua Ladislau Patrício,Lumiar,35,Cais do Sodré,7020.33501277
151,Alameda das Linhas de Torres,Lumiar,35,Cais do Sodré,6345.8079681
150,Rua Fernando Curado Ribeiro,Lumiar,35,Cais do Sodré,6142.41437052
170,Avenida Cidade de Luanda,Olivais,35,Cais do Sodré,6827.77084808
176,Jardim Eduardo Prado Coelho,Olivais,35,Cais do Sodré,7844.20851141
175,Avenida Dr. Francisco Luís Gomes,Olivais,35,Cais do Sodré,7663.66616334
177,Rua Cidade de Benguela,Olivais,35,Cais do Sodré,7232.38647456
173,Avenida Cidade de Lourenço Marques,Olivais,35,Cais do Sodré,6866.8789361
172,Praça Cidade do Luso,Olivais,35,Cais do Sodré,7095.74659542
171,Rua Cidade de Bissau,Olivais,35,Cais do Sodré,6885.16734699
178,Praça Baden Powell,Olivais,35,Cais do Sodré,7542.36098114
174,Avenida de Berlim,Olivais,35,Cais do Sodré,7499.69220184
168,Rua Marquês de Fronteira,Campolide,35,Cais do Sodré,2917.0533859
166,Rua Dom Francisco Manuel de Melo,Avenidas Novas,35,Cais do Sodré,2707.27660635
165,Rua de Campolide,Campolide,35,Cais do Sodré,2717.1279113
167,Rua Castilho,Avenidas Novas,35,Cais do Sodré,2788.24745885
164,Avenida Engenheiro Duarte Pacheco,Santo António,35,Cais do Sodré,2332.11983575
163,Rua Carlos Alberto da Mota Pinto,Campo de Ourique,35,Cais do Sodré,2356.11371433
227,Rua Tomás da Anunciação,Campo de Ourique,35,Cais do Sodré,2093.56896816
208,Rua da Venezuela,Benfica,35,Cais do Sodré,6342.82674386
202,Rua de São Domingos de Benfica,São Domingos de Benfica,35,Cais do Sodré,4717.22545187
206,Rua Ten. Coronel Ribeiro dos Reis,Benfica,35,Cais do Sodré,5778.90166042
207,Rua José dos Santos Pereira,Benfica,35,Cais do Sodré,5909.17706572
203,Rua Conde de Almoster,São Domingos de Benfica,35,Cais do Sodré,4945.45915658
218,Azinhaga dos Ulmeiros,Lumiar,35,Cais do Sodré,7391.36781201
121,Rua dos Fanqueiros,Santa Maria Maior,35,Cais do Sodré,1064.74329299
122,Rua do Crucifixo,Santa Maria Maior,35,Cais do Sodré,779.55063561
209,Estrada de Benfica,Benfica,35,Cais do Sodré,6090.27973952
210,Largo da Revista Militar,Benfica,35,Cais do Sodré,6396.32139628
211,Avenida do Colégio Militar,Carnide,35,Cais do Sodré,6640.09532943
213,Rua Cupertino de Miranda,Carnide,35,Cais do Sodré,7460.4105089
214,Rua Padre Américo,Carnide,35,Cais do Sodré,7021.37456802
215,Avenida das Nações Unidas,Carnide,35,Cais do Sodré,7004.38533738
216,Rua Prof. Mário de Albuquerque,Lumiar,35,Cais do Sodré,6700.63632415
217,Rua Prof. Pulido Valente,Lumiar,35,Cais do Sodré,6643.64580267
023,Avenida Columbano Bordalo Pinheiro,Campolide,35,Cais do Sodré,3721.3891761
056,Avenida Columbano Bordalo Pinheiro,São Domingos de Benfica,35,Cais do Sodré,4105.50200423
230,Praça das Indústrias,Alcântara,35,Cais do Sodré,3231.94290857
235,Avenida da Índia,Belém,35,Cais do Sodré,5880.64046204
236,Largo Luís Alves Miguel,Belém,35,Cais do Sodré,6506.09940144
252,Rua Luís Pastor de Macedo,Lumiar,35,Cais do Sodré,6816.91180869
303,Avenida do Uruguai,Benfica,35,Cais do Sodré,6868.51464629
304,Rua Guiomar Torresão,Carnide,35,Cais do Sodré,7069.64505592
249,Avenida de Berlim,Olivais,35,Cais do Sodré,7647.39598126
312,Rua Cascais,Alcântara,35,Cais do Sodré,2548.99658619
319,Avenida da Torre de Belém,Belém,35,Cais do Sodré,6116.54040951
